"","Date","Umpire","Home","Away","R [H]","R [A]","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","Con","Fav [H]","totRI"
"","2024-09-14","Todd Tichenor","PHI","NYM","6","4","142","4","8.7","138","133.3","4.7","97.2","93.8","3.3","97.2","-0.14","0.44"
"","2024-09-14","Marvin Hudson","NYY","BOS","1","7","166","8","7.9","158","158.1","-0.1","95.2","95.3","-0.1","96.4","0.2","1.28"
"","2024-09-14","Chris Guccione","MIN","CIN","1","11","152","6","14.2","146","137.8","8.2","96.1","90.6","5.4","90.8","-0.92","1.26"
"","2024-09-14","Dan Iassogna","LAA","HOU","3","5","140","13","7.5","127","132.5","-5.5","90.7","94.7","-3.9","93.6","0.44","1.52"
"","2024-09-14","Lance Barksdale","DET","BAL","2","4","148","6","6.5","142","141.5","0.5","95.9","95.6","0.3","95.9","0.31","0.49"
"","2024-09-14","Jeremy Riggs","CWS","OAK","7","6","160","8","9.2","152","150.8","1.2","95","94.2","0.8","93.8","0.06","0.96"
"","2024-09-14","Chris Segal","COL","CHC","6","5","120","10","9.5","110","110.5","-0.5","91.7","92.1","-0.4","91.7","-0.07","1.03"
"","2024-09-14","Chad Whitson","CLE","TB","6","1","127","5","7.1","122","119.9","2.1","96.1","94.4","1.6","96.9","-0.04","0.38"
"","2024-09-14","Tripp Gibson","AZ","MIL","8","15","189","13","14.5","176","174.5","1.5","93.1","92.3","0.8","90.5","-1.98","3.56"
"","2024-09-14","John Libka","ATL","LAD","10","1","165","6","9.3","159","155.7","3.3","96.4","94.4","2","97","0.22","0.86"
"","2024-09-13","Jacob Metz","WSH","MIA","4","1","128","10","5.8","118","122.2","-4.2","92.2","95.5","-3.3","93","-0.9","2.42"
"","2024-09-13","Alex Tosi","TOR","STL","4","3","165","9","13","156","152","4","94.5","92.1","2.4","91.5","0.47","1.41"
"","2024-09-13","Mark Wegner","SF","SD","0","5","137","10","10.8","127","126.2","0.8","92.7","92.1","0.6","92.7","-0.37","1.81"
